"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","TENPC","select"
"14",3,5.55662326571018,2.73508828109202,124,1,0,"Flexibility",495,3,10000,0.25,1,1,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5556.62326571018,"min"
"15",3,5.61402591746894,2.80252114093779,245,1,3,"3 Month",11,3,10000,0.25,1,1,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5614.02591746894,"min"
"16",2,5.640297323193,3.15793971328069,366,1,6,"6 Month",494,3,10000,0.25,1,1,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"17",4,5.64631373306073,1.88483979082763,487,1,9,"9 Month",12,3,10000,0.25,1,1,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"18",4,5.64631373306073,1.88483979082763,608,1,12,"12 Month",496,3,10000,0.25,1,1,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"19",4,5.64631373306073,1.88483979082763,4,0,0,"Uncertainty",16,4,10000,0.25,1,1,0,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"20",3,5.57457531641105,2.72622473193562,125,1,0,"Flexibility",499,4,10000,0.25,1,1,0,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5574.57531641105,"min"
"21",2,5.62710724860374,3.14277802146558,246,1,3,"3 Month",14,4,10000,0.25,1,1,0,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"22",2,5.640297323193,3.15793971328069,367,1,6,"6 Month",498,4,10000,0.25,1,1,0,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"23",4,5.64631373306073,1.88483979082763,488,1,9,"9 Month",16,4,10000,0.25,1,1,0,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
