"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC"
"81",1,5.70198822741274,2.96381822572069,21,0,0,"Uncertainty",81,21,10000,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",5701.98822741274
"82",2,5.60242071105503,2.73162340566163,21,0,0,"Uncertainty",82,21,10000,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Simple","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",5602.42071105503
"83",3,5.88529624158584,2.38655731292056,21,0,0,"Uncertainty",83,21,10000,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Advanced","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",5885.29624158584
"84",4,5.60914369708386,1.73873933742974,21,0,0,"Uncertainty",84,21,10000,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Robust","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",5609.14369708386
"85",1,4.74079484425767,2.46762369183383,22,0,0,"Uncertainty",85,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4740.79484425767
"86",2,4.79275266581854,2.2870007425144,22,0,0,"Uncertainty",86,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4792.75266581854
"87",3,5.22533908899637,1.84564962958138,22,0,0,"Uncertainty",87,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5225.33908899637
"88",4,5.27659960387045,1.31347259581572,22,0,0,"Uncertainty",88,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5276.59960387045
"89",1,4.89712298671766,2.60737284309299,23,0,0,"Uncertainty",89,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4897.12298671766
"90",2,4.92748516668755,2.42044605039117,23,0,0,"Uncertainty",90,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4927.48516668755
"91",3,5.33520332325658,1.9954417178663,23,0,0,"Uncertainty",91,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5335.20332325658
"92",4,5.3380464827835,1.41955574573977,23,0,0,"Uncertainty",92,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5338.0464827835
"93",1,5.04673217548906,2.71351572488342,24,0,0,"Uncertainty",93,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5046.73217548906
"94",2,5.05467760175966,2.51899332692441,24,0,0,"Uncertainty",94,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5054.67760175966
"95",3,5.42775118490164,2.097223471315,24,0,0,"Uncertainty",95,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5427.75118490164
"96",4,5.38613865904676,1.49753799946824,24,0,0,"Uncertainty",96,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5386.13865904676
"97",1,5.17683614327964,2.80405094191472,25,0,0,"Uncertainty",97,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5176.83614327964
"98",2,5.18334544140367,2.61802094560697,25,0,0,"Uncertainty",98,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5183.34544140367
"99",3,5.53098431708196,2.20652606215623,25,0,0,"Uncertainty",99,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5530.98431708196
"100",4,5.44246729835112,1.57829651763705,25,0,0,"Uncertainty",100,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5442.46729835112
"101",1,5.31403856077053,2.88864386158274,26,0,0,"Uncertainty",101,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5314.03856077053
"102",2,5.31505102670634,2.7195736867662,26,0,0,"Uncertainty",102,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5315.05102670634
